Customer_Name,Customer_Job,Customer_Age,Gender,Credit_Rating,Collateral_Type,Customer_ID
Hamdy Mansour,Sales_Rep,35,Female,A,Vehicle,CUST-1000
Hoda Abdel-Aziz,Freelancer,51,Male,B,Land,CUST-1001
Hassan Abdel-Aziz,Technician,45,Female,A,,CUST-1002
Amira Kamel,Accountant,53,Female,B,,CUST-1003
Sherif Hassan,Teacher,39,Female,D,,CUST-1004
Bassem Abdel-Aziz,Technician,46,Female,D,,CUST-1005
Fatma Nabil,Accountant,54,Male,B,,CUST-1006
Hassan Hassan,Freelancer,29,Female,B,Land,CUST-1007
Amira Nabil,Doctor,53,Female,D,Land,CUST-1008
Karim El-Sayed,Engineer,23,Male,B,Vehicle,CUST-1009
Ibrahim Hamdy,Teacher,23,Female,C,Land,CUST-1010
Hoda Saied,Freelancer,36,Male,B,Vehicle,CUST-1011
Dina Mansour,Freelancer,60,Male,B,,CUST-1012
Salma Hamdy,Accountant,53,Female,B,Vehicle,CUST-1013
Hoda Mansour,Doctor,38,Female,A,Vehicle,CUST-1014
Karim Mansour,Accountant,38,Male,A,,CUST-1015
Mohamed Hamdy,Sales_Rep,55,Female,A,Vehicle,CUST-1016
Ibrahim Ibrahim,Doctor,30,Female,D,,CUST-1017
Bassem Saied,Sales_Rep,56,Male,A,Vehicle,CUST-1018
Mona Saied,Freelancer,40,Male,A,,CUST-1019
Zaki Adel,Doctor,41,Female,B,,CUST-1020
Layla Mahmoud,Sales_Rep,52,Male,C,,CUST-1021
Sara Fawzy,Teacher,22,Male,A,,CUST-1022
Layla Nabil,Engineer,42,Male,A,Vehicle,CUST-1023
Wael Nabil,Accountant,28,Female,C,,CUST-1024
Zaki Nabil,Doctor,26,Female,B,,CUST-1025
Fatma Amr,Sales_Rep,32,Male,A,Land,CUST-1026
Ahmed Ibrahim,Technician,35,Male,D,Vehicle,CUST-1027
Mostafa Adel,Engineer,23,Male,C,,CUST-1028
,Doctor,33,Female,C,Vehicle,CUST-1029
Khaled Mahmoud,Doctor,30,Male,C,Vehicle,CUST-1030
Omar Zaki,Teacher,63,Female,D,Vehicle,CUST-1031
Fatma Ibrahim,Accountant,38,Male,D,Vehicle,CUST-1032
Bassem Kamel,Teacher,36,Female,D,Land,CUST-1033
Hoda Abdel-Aziz,Technician,23,Female,B,,CUST-1034
Hassan Reda,Accountant,33,Male,C,Land,CUST-1035
Khaled Hamdy,Accountant,39,Female,B,,CUST-1036
Hoda Saied,Doctor,65,Female,C,Land,CUST-1037
Tarek El-Sayed,Technician,64,Female,C,Vehicle,CUST-1038
Mona Hassan,Freelancer,46,Female,B,Land,CUST-1039
Wael Hamdy,Teacher,55,Male,C,Land,CUST-1040
Layla El-Sayed,Technician,60,Female,A,Land,CUST-1041
,Engineer,46,Male,D,,CUST-1042
Dina Kamel,Sales_Rep,63,Male,D,,CUST-1043
Ibrahim Reda,Technician,48,Male,B,Land,CUST-1044
Mostafa Hassan,Technician,22,Male,C,,CUST-1045
Salma Ibrahim,Teacher,59,Male,D,Land,CUST-1046
Zaki Zaki,Teacher,59,Female,C,,CUST-1047
Wael Reda,Doctor,55,Female,C,Land,CUST-1048
Sherif Reda,Sales_Rep,53,Female,A,Land,CUST-1049
Amira Nabil,Doctor,31,Female,D,,CUST-1050
Mohamed Amr,Teacher,32,Female,B,,CUST-1051
Sara Fawzy,Sales_Rep,47,Male,A,Land,CUST-1052
Zaki Ibrahim,Technician,34,Female,B,Vehicle,CUST-1053
Mahmoud Amr,Sales_Rep,48,Female,B,Land,CUST-1054
Khaled Reda,Freelancer,62,Male,B,Land,CUST-1055
